Codsipra,Assentamento,Município
PR0095000,MATIDA,JUNDIAI DO SUL
PR0306000,ELY MOUTINHO,JUNDIAI DO SUL
PR0309000,NANGO VIVE,JUNDIAI DO SUL
PR0259000,CONTESTADO,LAPA
PR0110000,FAZENDA CHAPADÃO,LARANJAL
PR0142000,PEDRA BRANCA,LARANJAL
PR0311000,CONQUISTA CAMPONESA,LARANJAL
PR0027000,PASSO LISO,LARANJEIRAS DO SUL
PR0034000,BUGRE MORTO,LARANJEIRAS DO SUL
PR0264000,8 DE JUNHO,LARANJEIRAS DO SUL
PR0023000,FAZENDA VITORIA,LINDOESTE
PR0056000,FAZENDA CIELITO,LINDOESTE
PR0104000,VERDUM,LINDOESTE
PR0153000,CAPÃO VERDE,LINDOESTE
PR0245000,CERRO AZUL,LINDOESTE
PR0123000,PÓ DE SERRA,LONDRINA
PR0326000,ELI VIVE I,LONDRINA
PR0327000,ELI VIVE II,LONDRINA
PR0231000,LUZ,LUIZIANA
PR0288000,RIO LARANJEIRAS,LUIZIANA
PR0016000,TRÊS CAPÕES,MANGUEIRINHA
PR0017000,VITÓRIA DA UNIÃO DO PARANÁ,MANGUEIRINHA
PR0018000,FAZENDA COVOZINHO,MANGUEIRINHA
PR0059000,FAZENDA MACHADO,MANGUEIRINHA
PR0248000,NATAL DA ESPERANÇA,MANGUEIRINHA
PR0285000,VITÓRIA,MANGUEIRINHA
PR0308000,SÃO JOÃO MARIA,MANGUEIRINHA
PR0329000,ESPERANÇA VIVA,MANGUEIRINHA
PR0330000,ANJO DA GUARDA I,MANGUEIRINHA
PR0261000,NOVA ITAÚNA,MANOEL RIBAS
PR0166000,SEBASTIÃO CAMARGO FILHO,MARILENA
PR0171000,SANTO ANGELO,MARILENA
PR0270000,QUATRO IRMÃOS,MARILENA
PR0407000,NOSSA SENHORA APARECIDA,MARILUZ
PR0028000,FAZENDA PERSEVERANÇA,MARMELEIRO
PR0133000,SÃO JORGE,MARMELEIRO
PR0145000,ANJO DA GUARDA,MARMELEIRO
PR0207000,EDUARDO RADUAN,MARMELEIRO
PR0333000,KARL MARX,MARMELEIRO
PR0084000,FAZENDA GUAMPARA,MARQUINHO
PR0242000,NOVO MUNDO,MAUA DA SERRA
PR0208000,MONTE AZUL,MIRADOR
PR0013000,NHUNDIAQUARA I - GLEBA CENTRAL 1,MORRETES
PR0013001,NHUNDIAQUARA II  GLEBA CENTRAL 2,MORRETES
PR0013002,NHUNDIAQUARA III  GLEBA CENTRAL 3,MORRETES
PR0013003,NHUNDIAQUARA IV - GLEBA MARQUES,MORRETES
PR0013004,NHUNDIAQUARA V  GLEBA PANTANAL,MORRETES
PR0013005,NHUNDIAQUARA VI GLEBA RIO DO PINTO,MORRETES
PR0044000,SANTO REI,NOVA CANTU
PR0251000,JERUSALEM,NOVA CANTU
PR0277000,JOSÉ ARNALDO DOS SANTOS,NOVA CANTU
PR0014000,TERCEIRA CONQUISTA DA UNIÃO,NOVA LARANJEIRAS
PR0108000,RECANTO ESTRELA-19 DE OUTUBRO,NOVA LARANJEIRAS
PR0135000,TERRA LIVRE,NOVA LARANJEIRAS
PR0209000,BRIZANTA,NOVA LONDRINA
PR0021000,IMBAUZINHO,ORTIGUEIRA
PR0057000,VOLTA GRANDE/ ESTRELA,ORTIGUEIRA
PR0120000,FAZENDA ESTRELA,ORTIGUEIRA
PR0129000,LIBERTAÇÃO CAMPONESA,ORTIGUEIRA
PR0215000,PADRE JOSINO,ORTIGUEIRA
PR0299000,IRACI SALETE STROZAKE II,ORTIGUEIRA
PR0422000,ÍNDIO GALDINO,ORTIGUEIRA
PR0103000,CRUZEIRO DO SUL,PALMAS
PR0177000,27 DE OUTUBRO,PALMAS
PR0240000,RECANTO BONITO,PALMAS
PR0279000,MARGEM DO IRATIM,PALMAS
PR0280000,PARAISO DO SUL,PALMAS
PR0281000,SÃO LOURENÇO,PALMAS
PR0206000,PINHEIRAL,PALMEIRA
PR0252000,PALMARES II,PALMEIRA
PR0049000,SÃO CARLOS,PALMITAL
PR0052000,BARRA GRANDE,PALMITAL
PR0054000,SÃO JOSÉ,PALMITAL
PR0055000,SÃO JOÃO,PALMITAL
PR0085000,ÁGUA QUENTE,PALMITAL
PR0137000,NOVA ALIANÇA,PALMITAL
PR0140000,BELA MANHÃ,PALMITAL
PR0081000,SANTA MARIA,PARANACITY
PR0139000,SANTA RITA,PEABIRU
PR0190000,MONTE ALTO,PEABIRU
PR0371000,MARAJÓ,PEABIRU
PR0048000,FAXINAL DOS RIBEIROS QUINHÃO 1- A,PINHAO
PR0066000,FAXINAL DOS RIBEIROS QUIN. I- C,PINHAO
PR0073000,FAXINAL DOS SILVÉRIOS,PINHAO
PR0256000,FAXINAL DOS RIBEIROS QUIN. 1-G,PINHAO
PR0337000,IRENE COELHO DE SOUZA LOBO,PITANGA
PR0392000,VALE DA SERRA,PITANGA
PR0272000,SUMATRA,PLANALTINA DO PARANA
PR0305000,MILTON SANTOS,PLANALTINA DO PARANA
PR0114000,SANTA RUTHE,PRESIDENTE CASTELO BRANCO
PR0187000,BARRA BONITA,PRIMEIRO DE MAIO
PR0043000,RIO PERDIDO,QUEDAS DO IGUACU
PR0097000,NÚCLEO AGRÍCOLA VITÓRIA,QUEDAS DO IGUACU
PR0283000,COM CULTIVO DE ESPECIES FLORESTAIS CELSO FURTADO,QUEDAS DO IGUACU
PR0336000,LEONIR ORBACH,QUEDAS DO IGUACU
PR0118000,PONTAL DO TIGRE,QUERENCIA DO NORTE
PR0119000,CHICO MENDES,QUERENCIA DO NORTE
PR0138000,CHE GUEVARA,QUERENCIA DO NORTE
PR0147000,MARGARIDA ALVES,QUERENCIA DO NORTE
PR0167000,ZUMBI DOS PALMARES,QUERENCIA DO NORTE
PR0221000,LUIZ CARLOS PRESTES,QUERENCIA DO NORTE
PR0317000,SEBASTIÃO DA MAIA,QUERENCIA DO NORTE
PR0368000,FAZENDA SANTANA,QUERENCIA DO NORTE
PR0387000,ANTONIO TAVARES PEREIRA,QUERENCIA DO NORTE
PR0398000,IRMÃ DOROTHY,QUERENCIA DO NORTE
PR0372000,RONCADOR,QUINTA DO SOL
PR0391000,16 DE MAIO,RAMILANDIA
PR0413000,SANTA IZABEL,RAMILANDIA
PR0022000,JACIRETÃ,RENASCENCA
PR0022001,JACIRETÃ II,RENASCENCA
PR0022002,JACIRETÃ III,RENASCENCA
PR0144000,QUEBRA-BRAÇO,RENASCENCA
PR0238000,SANTA TEREZA,RENASCENCA
PR0333001,KARL MARX II,RENASCENCA
PR0420000,JOÃO DE PAULA,RENASCENCA
PR0031000,SANTA HELENA,RESERVA
PR0032000,FIO DE OURO,RESERVA
PR0058000,CRICIUMA,RESERVA
PR0106000,CAIÇARA,RESERVA
PR0107000,SINHÁ ANA,RESERVA
PR0204000,RENASCENÇA,RESERVA
PR0249000,RECANTO DA AMIZADE,RESERVA
PR0236000,RODEIO,RESERVA DO IGUACU
PR0263000,FAZENDA BARREIROS,RESERVA DO IGUACU
