Codsipra,Assentamento,Município,nomePA
PR0180000,PAIOL DE TELHA,GUARAPUAVA,PAPAIOLDETELHA
PR0234000,EUROPA,GUARAPUAVA,PAEUROPA
PR0235000,ROSA,GUARAPUAVA,PAROSA
PR0246000,FAZENDA BANANAS,GUARAPUAVA,PAFAZENDABANANAS
PR0325000,NOVA GERAÇÃO,GUARAPUAVA,PANOVAGERACAO
PR0418000,13 DE NOVEMBRO,GUARAPUAVA,PA13DENOVEMBRO
PR0024000,FAZENDA LAGOA,HONORIO SERPA,PAFAZENDALAGOA
PR0036000,CHOPIM,HONORIO SERPA,PACHOPIM
PR0040000,CHOPIM - I,HONORIO SERPA,PACHOPIMI
PR0060000,CHOPIM II,HONORIO SERPA,PACHOPIMII
PR0064000,CHOPIM III,HONORIO SERPA,PACHOPIMIII
PR0071000,CHOPIM IV,HONORIO SERPA,PACHOPIMIV
PR0098000,SANTA CATARINA,HONORIO SERPA,PASANTACATARINA
PR0105000,NOVA TERRA,HONORIO SERPA,PANOVATERRA
PR0124000,NOVA CONCORDIA,HONORIO SERPA,PANOVACONCORDIA
PR0128000,JACUTINGA,HONORIO SERPA,PAJACUTINGA
PR0265000,TUPY,HONORIO SERPA,PATUPY
PR0086000,MODELO,IBAITI,PAMODELO
PR0127000,MARIMBONDO,IBAITI,PAMARIMBONDO
PR0148000,VALE VERDE,IBAITI,PAVALEVERDE
PR0369000,RIBEIRINHO,ICARAIMA,PARIBEIRINHO
PR0370000,ZARANTONELLO,ICARAIMA,PAZARANTONELLO
PR0112000,GUANABARA,IMBAU,PAGUANABARA
PR0074000,BOM RETIRO,INACIO MARTINS,PABOMRETIRO
PR0117000,FAXINAL DOS RODRIGUES,INACIO MARTINS,PAFAXINALDOSRODRIGUES
PR0122000,JOSÉ DIAS,INACIO MARTINS,PAJOSEDIAS
PR0375000,EVANDRO FRANCISCO,INACIO MARTINS,PAEVANDROFRANCISCO
PR0257000,SANTANA DO IPIRANGA,IPIRANGA,PASANTANADOIPIRANGA
PR0205000,ÁGUAS DE JUREMA,IRETAMA,PAAGUASDEJUREMA
PR0278000,NATA,IRETAMA,PANATA
PR0373000,MUQUILÃO,IRETAMA,PAMUQUILAO
PR0116000,MASCOTE,ITAGUAJE,PAMASCOTE
PR0160000,SALETE STROZAKE,ITAGUAJE,PASALETESTROZAKE
PR0168000,UNIÃO SANTA ADÉLIA,ITAGUAJE,PAUNIAOSANTAADELIA
PR0374000,AGUSTINHO EDERLI,ITAGUAJE,PAAGUSTINHOEDERLI
PR0082000,JACAREZINHO,JACAREZINHO,PAJACAREZINHO
PR0320000,COMPANHEIRO KENO,JACAREZINHO,PACOMPANHEIROKENO
PR0421000,8 DE ABRIL,JARDIM ALEGRE,PA8DEABRIL
PR0213000,MÃE DE DEUS,JARDIM OLINDA,PAMAEDEDEUS
PR0095000,MATIDA,JUNDIAI DO SUL,PAMATIDA
PR0306000,ELY MOUTINHO,JUNDIAI DO SUL,PAELYMOUTINHO
PR0309000,NANGO VIVE,JUNDIAI DO SUL,PANANGOVIVE
PR0259000,CONTESTADO,LAPA,PACONTESTADO
PR0110000,FAZENDA CHAPADÃO,LARANJAL,PAFAZENDACHAPADAO
PR0142000,PEDRA BRANCA,LARANJAL,PAPEDRABRANCA
PR0311000,CONQUISTA CAMPONESA,LARANJAL,PACONQUISTACAMPONESA
PR0027000,PASSO LISO,LARANJEIRAS DO SUL,PAPASSOLISO
PR0034000,BUGRE MORTO,LARANJEIRAS DO SUL,PABUGREMORTO
PR0264000,8 DE JUNHO,LARANJEIRAS DO SUL,PA8DEJUNHO
PR0023000,FAZENDA VITORIA,LINDOESTE,PAFAZENDAVITORIA
PR0056000,FAZENDA CIELITO,LINDOESTE,PAFAZENDACIELITO
PR0104000,VERDUM,LINDOESTE,PAVERDUM
PR0153000,CAPÃO VERDE,LINDOESTE,PACAPAOVERDE
PR0245000,CERRO AZUL,LINDOESTE,PACERROAZUL
PR0123000,PÓ DE SERRA,LONDRINA,PAPODESERRA
PR0326000,ELI VIVE I,LONDRINA,PAELIVIVEI
PR0327000,ELI VIVE II,LONDRINA,PAELIVIVEII
PR0231000,LUZ,LUIZIANA,PALUZ
PR0288000,RIO LARANJEIRAS,LUIZIANA,PARIOLARANJEIRAS
PR0016000,TRÊS CAPÕES,MANGUEIRINHA,PATRESCAPOES
PR0017000,VITÓRIA DA UNIÃO DO PARANÁ,MANGUEIRINHA,PAVITORIADAUNIAODOPARANA
PR0018000,FAZENDA COVOZINHO,MANGUEIRINHA,PAFAZENDACOVOZINHO
PR0059000,FAZENDA MACHADO,MANGUEIRINHA,PAFAZENDAMACHADO
PR0248000,NATAL DA ESPERANÇA,MANGUEIRINHA,PANATALDAESPERANCA
PR0285000,VITÓRIA,MANGUEIRINHA,PAVITORIA
PR0308000,SÃO JOÃO MARIA,MANGUEIRINHA,PASAOJOAOMARIA
PR0329000,ESPERANÇA VIVA,MANGUEIRINHA,PAESPERANCAVIVA
PR0330000,ANJO DA GUARDA I,MANGUEIRINHA,PAANJODAGUARDAI
PR0261000,NOVA ITAÚNA,MANOEL RIBAS,PANOVAITAUNA
PR0166000,SEBASTIÃO CAMARGO FILHO,MARILENA,PASEBASTIAOCAMARGOFILHO
PR0171000,SANTO ANGELO,MARILENA,PASANTOANGELO
PR0270000,QUATRO IRMÃOS,MARILENA,PAQUATROIRMAOS
PR0407000,NOSSA SENHORA APARECIDA,MARILUZ,PANOSSASENHORAAPARECIDA
PR0028000,FAZENDA PERSEVERANÇA,MARMELEIRO,PAFAZENDAPERSEVERANCA
PR0133000,SÃO JORGE,MARMELEIRO,PASAOJORGE
PR0145000,ANJO DA GUARDA,MARMELEIRO,PAANJODAGUARDA
PR0207000,EDUARDO RADUAN,MARMELEIRO,PAEDUARDORADUAN
PR0333000,KARL MARX,MARMELEIRO,PAKARLMARX
PR0084000,FAZENDA GUAMPARA,MARQUINHO,PAFAZENDAGUAMPARA
PR0242000,NOVO MUNDO,MAUA DA SERRA,PANOVOMUNDO
PR0208000,MONTE AZUL,MIRADOR,PAMONTEAZUL
PR0013000,NHUNDIAQUARA I - GLEBA CENTRAL 1,MORRETES,PANHUNDIAQUARAIGLEBACENTRAL1
PR0013001,NHUNDIAQUARA II  GLEBA CENTRAL 2,MORRETES,PANHUNDIAQUARAIIGLEBACENTRAL2
PR0013002,NHUNDIAQUARA III  GLEBA CENTRAL 3,MORRETES,PANHUNDIAQUARAIIIGLEBACENTRAL3
PR0013003,NHUNDIAQUARA IV - GLEBA MARQUES,MORRETES,PANHUNDIAQUARAIVGLEBAMARQUES
PR0013004,NHUNDIAQUARA V  GLEBA PANTANAL,MORRETES,PANHUNDIAQUARAVGLEBAPANTANAL
PR0013005,NHUNDIAQUARA VI GLEBA RIO DO PINTO,MORRETES,PANHUNDIAQUARAVIGLEBARIODOPINTO
PR0044000,SANTO REI,NOVA CANTU,PASANTOREI
PR0251000,JERUSALEM,NOVA CANTU,PAJERUSALEM
PR0277000,JOSÉ ARNALDO DOS SANTOS,NOVA CANTU,PAJOSEARNALDODOSSANTOS
PR0014000,TERCEIRA CONQUISTA DA UNIÃO,NOVA LARANJEIRAS,PATERCEIRACONQUISTADAUNIAO
PR0108000,RECANTO ESTRELA-19 DE OUTUBRO,NOVA LARANJEIRAS,PARECANTOESTRELA19DEOUTUBRO
PR0135000,TERRA LIVRE,NOVA LARANJEIRAS,PATERRALIVRE
PR0209000,BRIZANTA,NOVA LONDRINA,PABRIZANTA
PR0021000,IMBAUZINHO,ORTIGUEIRA,PAIMBAUZINHO
PR0057000,VOLTA GRANDE/ ESTRELA,ORTIGUEIRA,PAVOLTAGRANDEESTRELA
PR0120000,FAZENDA ESTRELA,ORTIGUEIRA,PAFAZENDAESTRELA
PR0129000,LIBERTAÇÃO CAMPONESA,ORTIGUEIRA,PALIBERTACAOCAMPONESA
PR0215000,PADRE JOSINO,ORTIGUEIRA,PAPADREJOSINO
PR0299000,IRACI SALETE STROZAKE II,ORTIGUEIRA,PAIRACISALETESTROZAKEII
PR0422000,ÍNDIO GALDINO,ORTIGUEIRA,PAINDIOGALDINO
PR0103000,CRUZEIRO DO SUL,PALMAS,PACRUZEIRODOSUL
PR0177000,27 DE OUTUBRO,PALMAS,PA27DEOUTUBRO
PR0240000,RECANTO BONITO,PALMAS,PARECANTOBONITO
PR0279000,MARGEM DO IRATIM,PALMAS,PAMARGEMDOIRATIM
PR0280000,PARAISO DO SUL,PALMAS,PAPARAISODOSUL
PR0281000,SÃO LOURENÇO,PALMAS,PASAOLOURENCO
PR0206000,PINHEIRAL,PALMEIRA,PAPINHEIRAL
PR0252000,PALMARES II,PALMEIRA,PAPALMARESII
PR0049000,SÃO CARLOS,PALMITAL,PASAOCARLOS
PR0052000,BARRA GRANDE,PALMITAL,PABARRAGRANDE
PR0054000,SÃO JOSÉ,PALMITAL,PASAOJOSE
PR0055000,SÃO JOÃO,PALMITAL,PASAOJOAO
PR0085000,ÁGUA QUENTE,PALMITAL,PAAGUAQUENTE
PR0137000,NOVA ALIANÇA,PALMITAL,PANOVAALIANCA
PR0140000,BELA MANHÃ,PALMITAL,PABELAMANHA
PR0081000,SANTA MARIA,PARANACITY,PASANTAMARIA
PR0139000,SANTA RITA,PEABIRU,PASANTARITA
PR0190000,MONTE ALTO,PEABIRU,PAMONTEALTO
PR0371000,MARAJÓ,PEABIRU,PAMARAJO
PR0048000,FAXINAL DOS RIBEIROS QUINHÃO 1- A,PINHAO,PAFAXINALDOSRIBEIROSQUINHAO1A
PR0066000,FAXINAL DOS RIBEIROS QUIN. I- C,PINHAO,PAFAXINALDOSRIBEIROSQUINIC
PR0073000,FAXINAL DOS SILVÉRIOS,PINHAO,PAFAXINALDOSSILVERIOS
PR0256000,FAXINAL DOS RIBEIROS QUIN. 1-G,PINHAO,PAFAXINALDOSRIBEIROSQUIN1G
PR0337000,IRENE COELHO DE SOUZA LOBO,PITANGA,PAIRENECOELHODESOUZALOBO
PR0392000,VALE DA SERRA,PITANGA,PAVALEDASERRA
PR0272000,SUMATRA,PLANALTINA DO PARANA,PASUMATRA
PR0305000,MILTON SANTOS,PLANALTINA DO PARANA,PAMILTONSANTOS
PR0114000,SANTA RUTHE,PRESIDENTE CASTELO BRANCO,PASANTARUTHE
PR0187000,BARRA BONITA,PRIMEIRO DE MAIO,PABARRABONITA
PR0043000,RIO PERDIDO,QUEDAS DO IGUACU,PARIOPERDIDO
PR0097000,NÚCLEO AGRÍCOLA VITÓRIA,QUEDAS DO IGUACU,PANUCLEOAGRICOLAVITORIA
PR0283000,COM CULTIVO DE ESPECIES FLORESTAIS CELSO FURTADO,QUEDAS DO IGUACU,PACOMCULTIVODEESPECIESFLORESTAISCELSOFURTADO
PR0336000,LEONIR ORBACH,QUEDAS DO IGUACU,PALEONIRORBACH
PR0118000,PONTAL DO TIGRE,QUERENCIA DO NORTE,PAPONTALDOTIGRE
PR0119000,CHICO MENDES,QUERENCIA DO NORTE,PACHICOMENDES
PR0138000,CHE GUEVARA,QUERENCIA DO NORTE,PACHEGUEVARA
PR0147000,MARGARIDA ALVES,QUERENCIA DO NORTE,PAMARGARIDAALVES
PR0167000,ZUMBI DOS PALMARES,QUERENCIA DO NORTE,PAZUMBIDOSPALMARES
PR0221000,LUIZ CARLOS PRESTES,QUERENCIA DO NORTE,PALUIZCARLOSPRESTES
PR0317000,SEBASTIÃO DA MAIA,QUERENCIA DO NORTE,PASEBASTIAODAMAIA
PR0368000,FAZENDA SANTANA,QUERENCIA DO NORTE,PAFAZENDASANTANA
PR0387000,ANTONIO TAVARES PEREIRA,QUERENCIA DO NORTE,PAANTONIOTAVARESPEREIRA
PR0398000,IRMÃ DOROTHY,QUERENCIA DO NORTE,PAIRMADOROTHY
PR0372000,RONCADOR,QUINTA DO SOL,PARONCADOR
PR0391000,16 DE MAIO,RAMILANDIA,PA16DEMAIO
PR0413000,SANTA IZABEL,RAMILANDIA,PASANTAIZABEL
PR0022000,JACIRETÃ,RENASCENCA,PAJACIRETA
PR0022001,JACIRETÃ II,RENASCENCA,PAJACIRETAII
PR0022002,JACIRETÃ III,RENASCENCA,PAJACIRETAIII
PR0144000,QUEBRA-BRAÇO,RENASCENCA,PAQUEBRABRACO
PR0238000,SANTA TEREZA,RENASCENCA,PASANTATEREZA
PR0333001,KARL MARX II,RENASCENCA,PAKARLMARXII
PR0420000,JOÃO DE PAULA,RENASCENCA,PAJOAODEPAULA
PR0031000,SANTA HELENA,RESERVA,PASANTAHELENA
PR0032000,FIO DE OURO,RESERVA,PAFIODEOURO
PR0058000,CRICIUMA,RESERVA,PACRICIUMA
PR0106000,CAIÇARA,RESERVA,PACAICARA
PR0107000,SINHÁ ANA,RESERVA,PASINHAANA
PR0204000,RENASCENÇA,RESERVA,PARENASCENCA
PR0249000,RECANTO DA AMIZADE,RESERVA,PARECANTODAAMIZADE
PR0236000,RODEIO,RESERVA DO IGUACU,PARODEIO
PR0263000,FAZENDA BARREIROS,RESERVA DO IGUACU,PAFAZENDABARREIROS
PR0302000,PAINEIRA,RESERVA DO IGUACU,PAPAINEIRA
PR0050000,SÃO FRANCISCO,RIBEIRAO DO PINHAL,PASAOFRANCISCO
PR0134000,IRENO ALVES DOS SANTOS,RIO BONITO DO IGUACU,PAIRENOALVESDOSSANTOS
PR0179000,MARCOS FREIRE,RIO BONITO DO IGUACU,PAMARCOSFREIRE
PR0286000,10 DE MAIO,RIO BONITO DO IGUACU,PA10DEMAIO
PR0332000,EGIDIO BRUNETTO,RIO BRANCO DO IVAI,PAEGIDIOBRUNETTO
PR0020000,GLEBA 3/CANCAN/CANTU,RONCADOR,PAGLEBA3CANCANCANTU
PR0386000,RIO AZUL,RONCADOR,PARIOAZUL
PR0051000,SÃO BRAZ,SALGADO FILHO,PASAOBRAZ
PR0155000,OZIEL ALVES PEREIRA,SANTA CRUZ DE MONTE CASTELO,PAOZIELALVESPEREIRA
PR0163000,17 DE ABRIL,SANTA CRUZ DE MONTE CASTELO,PA17DEABRIL
PR0170000,PARANÁ,SANTA CRUZ DE MONTE CASTELO,PAPARANA
PR0388000,TEIXEIRINHA,SANTA CRUZ DE MONTE CASTELO,PATEIXEIRINHA
PR0019000,ARAGUAÍ,SANTA MARIA DO OESTE,PAARAGUAI
PR0199000,RECANTO FELIZ,SANTA MARIA DO OESTE,PARECANTOFELIZ
PR0415000,ESTRELA DO OESTE,SANTA MARIA DO OESTE,PAESTRELADOOESTE
PR0232000,ILDO LUIZ PERRUZO,SANTA MONICA,PAILDOLUIZPERRUZO
PR0169000,SEPÉ TIARAJÚ,SANTA TEREZA DO OESTE,PASEPETIARAJU
PR0284000,OLGA BENARIO,SANTA TEREZA DO OESTE,PAOLGABENARIO
PR0078000,FAZENDA BEBEDOURO,SANTANA DO ITARARE,PAFAZENDABEBEDOURO
PR0390000,CARLOS LAMARCA,SANTO ANTONIO DO PARAISO,PACARLOSLAMARCA
PR0184000,NORTE SUL,SANTO INACIO,PANORTESUL
PR0186000,NOVO HORIZONTE,SANTO INACIO,PANOVOHORIZONTE
PR0131000,SOL NASCENTE,SAO JERONIMO DA SERRA,PASOLNASCENTE
PR0165000,PAULO FREIRE,SAO JERONIMO DA SERRA,PAPAULOFREIRE
